PDI-Me-COOH,,PDI-OMe-COOH,,PDI-H-COOH,
wavelength,absorbance,wavelength,absorbance,wavelength,absorbance
573,0.6922,573,0.7446,573,0.7207
572,0.6983,572,0.7514,572,0.7266
571,0.7041,571,0.7571,571,0.732
570,0.7095,570,0.7634,570,0.737
569,0.7145,569,0.7687,569,0.7416
568,0.7193,568,0.7733,568,0.7458
567,0.7237,567,0.7782,567,0.7495
566,0.7276,566,0.7816,566,0.7528
565,0.7313,565,0.7849,565,0.7558
564,0.7345,564,0.7884,564,0.7583
563,0.7376,563,0.7912,563,0.7606
562,0.7402,562,0.7933,562,0.7624
561,0.7425,561,0.7954,561,0.764
560,0.7446,560,0.7971,560,0.7652
559,0.7466,559,0.7985,559,0.7661
558,0.7481,558,0.7996,558,0.7667
557,0.7492,557,0.8008,557,0.7671
556,0.7501,556,0.8021,556,0.7672
555,0.7509,555,0.7972,555,0.7673
554,0.7515,554,0.7979,554,0.7672
553,0.752,553,0.7985,553,0.7671
552,0.7527,552,0.7988,552,0.767
551,0.7533,551,0.7992,551,0.767
550,0.7538,550,0.7999,550,0.767
549,0.7541,549,0.7999,549,0.767
548,0.7544,548,0.8003,548,0.7671
547,0.7545,547,0.8002,547,0.7672
546,0.7547,546,0.8004,546,0.7673
545,0.7547,545,0.8007,545,0.7674
544,0.755,544,0.8007,544,0.7675
543,0.7551,543,0.8006,543,0.7676
542,0.7552,542,0.8014,542,0.7678
541,0.7553,541,0.8013,541,0.7679
540,0.7555,540,0.8013,540,0.768
539,0.7555,539,0.8014,539,0.7681
538,0.7556,538,0.8016,538,0.7683
537,0.7557,537,0.8022,537,0.7685
536,0.7558,536,0.8022,536,0.7687
535,0.7558,535,0.8023,535,0.7689
534,0.756,534,0.8027,534,0.7692
533,0.7561,533,0.8026,533,0.7695
532,0.7562,532,0.8028,532,0.7699
531,0.7563,531,0.8036,531,0.7703
530,0.7565,530,0.8033,530,0.7707
529,0.7566,529,0.8039,529,0.7712
528,0.7568,528,0.8036,528,0.7717
527,0.7571,527,0.8044,527,0.7722
526,0.7573,526,0.8048,526,0.7728
525,0.7577,525,0.8051,525,0.7733
524,0.758,524,0.8053,524,0.7738
523,0.7584,523,0.8057,523,0.7743
522,0.7589,522,0.8055,522,0.7747
521,0.7595,521,0.8065,521,0.7751
520,0.7599,520,0.8067,520,0.7754
519,0.7602,519,0.8067,519,0.7756
518,0.7605,518,0.807,518,0.7758
517,0.7608,517,0.8068,517,0.7759
516,0.7609,516,0.8066,516,0.776
515,0.761,515,0.8074,515,0.776
514,0.7611,514,0.807,514,0.7759
513,0.7609,513,0.8071,513,0.7758
512,0.7607,512,0.8066,512,0.7756
511,0.7604,511,0.8062,511,0.7754
510,0.7601,510,0.8063,510,0.7752
509,0.7596,509,0.8057,509,0.7749
508,0.7592,508,0.8058,508,0.7746
507,0.7588,507,0.8053,507,0.7743
506,0.7583,506,0.8052,506,0.7741
505,0.7579,505,0.8048,505,0.7738
504,0.7575,504,0.8047,504,0.7736
503,0.7572,503,0.8041,503,0.7734
502,0.7568,502,0.8037,502,0.7732
501,0.7566,501,0.8039,501,0.773
500,0.7563,500,0.8036,500,0.7729
499,0.7561,499,0.804,499,0.7729
498,0.756,498,0.8036,498,0.7729
497,0.7558,497,0.8033,497,0.7729
496,0.7557,496,0.8034,496,0.773
495,0.7556,495,0.8034,495,0.7732
494,0.7556,494,0.8037,494,0.7734
493,0.7556,493,0.8032,493,0.7737
492,0.7555,492,0.8039,492,0.7741
491,0.7556,491,0.8038,491,0.7745
490,0.7557,490,0.804,490,0.7749
489,0.7558,489,0.8038,489,0.7755
488,0.756,488,0.8043,488,0.7761
487,0.7563,487,0.8045,487,0.7767
486,0.7567,486,0.8048,486,0.7774
485,0.7572,485,0.805,485,0.7781
484,0.7577,484,0.8058,484,0.7788
483,0.7584,483,0.8059,483,0.7796
482,0.759,482,0.8063,482,0.7803
481,0.7595,481,0.8071,481,0.781
480,0.76,480,0.8074,480,0.7817
479,0.7606,479,0.8076,479,0.7824
478,0.761,478,0.8083,478,0.783
477,0.7614,477,0.8082,477,0.7835
476,0.7618,476,0.8087,476,0.784
475,0.762,475,0.8091,475,0.7845
474,0.7621,474,0.8094,474,0.7849
473,0.7622,473,0.8093,473,0.7852
472,0.7622,472,0.8096,472,0.7855
471,0.7621,471,0.8097,471,0.7857
470,0.7622,470,0.8098,470,0.7859
469,0.7618,469,0.8097,469,0.786
468,0.7611,468,0.8098,468,0.7861
467,0.7605,467,0.8074,467,0.7862
466,0.7599,466,0.8073,466,0.7863
465,0.7592,465,0.8074,465,0.7865
464,0.7589,464,0.8078,464,0.7867
463,0.7588,463,0.8075,463,0.7869
462,0.7588,462,0.8079,462,0.7872
461,0.7588,461,0.8076,461,0.7875
460,0.7587,460,0.8084,460,0.7879
459,0.7585,459,0.8082,459,0.7883
458,0.7583,458,0.8084,458,0.7887
457,0.7584,457,0.8085,457,0.7892
456,0.7584,456,0.8085,456,0.7896
455,0.7583,455,0.8097,455,0.79
454,0.7583,454,0.8099,454,0.7903
453,0.7581,453,0.8095,453,0.7906
452,0.7576,452,0.8092,452,0.7908
451,0.757,451,0.8094,451,0.7909
