PDI-H-COOH,,PDI-Me-COOH,PDI-OMe-COOH
Angle,Intensity,Angle,Intensity,Angle,Intensity
12.18,47,12.18,70,12.18,265
12.2,65,12.2,72,12.2,260
12.22,45,12.22,71,12.22,211
12.24,56,12.24,63,12.24,223
12.26,68,12.26,63,12.26,170
12.28,68,12.28,54,12.28,136
12.3,81,12.3,49,12.3,113
12.32,79,12.32,41,12.32,124
12.34,79,12.34,48,12.34,92
12.36,89,12.36,41,12.36,83
12.38,74,12.38,31,12.38,54
12.4,73,12.4,41,12.4,68
12.42,77,12.42,45,12.42,53
12.44,68,12.44,48,12.44,48
12.46,52,12.46,43,12.46,51
12.48,52,12.48,41,12.48,56
12.5,43,12.5,30,12.5,39
12.52,38,12.52,43,12.52,41
12.54,38,12.54,36,12.54,39
12.56,31,12.56,32,12.56,46
12.58,30,12.58,36,12.58,38
12.6,31,12.6,40,12.6,49
12.62,22,12.62,36,12.62,38
12.64,40,12.64,33,12.64,44
12.66,34,12.66,29,12.66,35
12.68,24,12.68,28,12.68,39
12.7,22,12.7,47,12.7,43
12.72,27,12.72,35,12.72,36
12.74,26,12.74,29,12.74,38
12.76,34,12.76,38,12.76,42
12.78,23,12.78,29,12.78,35
12.8,27,12.8,39,12.8,32
12.82,29,12.82,29,12.82,42
12.84,32,12.84,33,12.84,33
12.86,36,12.86,34,12.86,37
12.88,34,12.88,31,12.88,29
12.9,28,12.9,31,12.9,29
12.92,21,12.92,29,12.92,36
12.94,28,12.94,39,12.94,45
12.96,27,12.96,30,12.96,40
12.98,26,12.98,38,12.98,36
13,36,13,26,13,46
13.02,29,13.02,43,13.02,43
13.04,38,13.04,41,13.04,30
13.06,32,13.06,25,13.06,47
13.08,24,13.08,34,13.08,45
13.1,26,13.1,34,13.1,40
13.12,26,13.12,38,13.12,37
13.14,30,13.14,37,13.14,38
13.16,32,13.16,32,13.16,40
13.18,36,13.18,35,13.18,46
13.2,41,13.2,42,13.2,36
13.22,30,13.22,58,13.22,43
13.24,39,13.24,34,13.24,34
13.26,39,13.26,41,13.26,51
13.28,39,13.28,41,13.28,43
13.3,36,13.3,41,13.3,43
13.32,21,13.32,47,13.32,54
13.34,25,13.34,34,13.34,64
13.36,47,13.36,33,13.36,53
13.38,34,13.38,29,13.38,71
13.4,46,13.4,54,13.4,59
13.42,38,13.42,56,13.42,62
13.44,38,13.44,53,13.44,80
13.46,40,13.46,53,13.46,76
13.48,41,13.48,48,13.48,67
13.5,52,13.5,51,13.5,96
13.52,47,13.52,62,13.52,103
13.54,45,13.54,64,13.54,90
13.56,48,13.56,51,13.56,110
13.58,49,13.58,62,13.58,99
13.6,50,13.6,73,13.6,128
13.62,58,13.62,74,13.62,101
13.64,76,13.64,79,13.64,138
13.66,61,13.66,82,13.66,106
13.68,77,13.68,78,13.68,131
13.7,84,13.7,100,13.7,102
13.72,103,13.72,82,13.72,112
13.74,100,13.74,109,13.74,111
13.76,112,13.76,80,13.76,105
13.78,94,13.78,120,13.78,105
13.8,104,13.8,124,13.8,89
13.82,135,13.82,137,13.82,96
13.84,154,13.84,147,13.84,82
13.86,172,13.86,158,13.86,67
13.88,202,13.88,173,13.88,85
13.9,256,13.9,184,13.9,69
13.92,250,13.92,210,13.92,74
13.94,309,13.94,191,13.94,77
13.96,278,13.96,219,13.96,55
13.98,277,13.98,212,13.98,65
14,211,14,249,14,66
14.02,176,14.02,263,14.02,48
14.04,142,14.04,251,14.04,60
14.06,108,14.06,247,14.06,46
14.08,86,14.08,252,14.08,46
14.1,56,14.1,266,14.1,63
14.12,71,14.12,228,14.12,63
14.14,47,14.14,234,14.14,60
14.16,29,14.16,246,14.16,63
14.18,38,14.18,236,14.18,61
14.2,47,14.2,200,14.2,59
14.22,50,14.22,198,14.22,42
14.24,44,14.24,212,14.24,52
14.26,35,14.26,205,14.26,47
14.28,35,14.28,181,14.28,47
14.3,37,14.3,171,14.3,59
14.32,53,14.32,139,14.32,49
14.34,28,14.34,160,14.34,52
14.36,29,14.36,143,14.36,43
14.38,30,14.38,128,14.38,49
14.4,39,14.4,114,14.4,34
14.42,29,14.42,125,14.42,39
