PDI-H-COOH,,PDI-Me-COOH,,PDI-OMe-COOH
Wavenumber,intensity,Wavenumber,intensity,Wavenumber,intensity
617.5915,68.54193,617.5915,56.4545,617.5915,79.32529
618.0736,68.6056,618.0736,56.2354,618.0736,79.19847
618.5557,68.63865,618.5557,56.13662,618.5557,79.02455
619.0378,68.64397,619.0378,56.18348,619.0378,78.81015
619.52,68.62685,619.52,56.38614,619.52,78.56303
620.0021,68.59143,620.0021,56.73584,620.0021,78.28867
620.4842,68.53826,620.4842,57.20526,620.4842,77.98892
620.9663,68.4636,620.9663,57.75181,620.9663,77.66297
621.4484,68.35931,621.4484,58.32272,621.4484,77.30916
621.9305,68.21317,621.9305,58.86206,621.9305,76.92703
622.4127,68.00936,622.4127,59.31967,622.4127,76.5191
622.8948,67.72982,622.8948,59.65908,622.8948,76.09188
623.3769,67.35739,623.3769,59.86283,623.3769,75.65633
623.859,66.88148,623.859,59.93347,623.859,75.22824
624.3411,66.30552,624.3411,59.89182,624.3411,74.8283
624.8232,65.65379,624.8232,59.77297,624.8232,74.48167
625.3054,64.97368,625.3054,59.62153,625.3054,74.21566
625.7875,64.32977,625.7875,59.48523,625.7875,74.05559
626.2696,63.79016,626.2696,59.40815,626.2696,74.01941
626.7517,63.40913,626.7517,59.42361,626.7517,74.11343
627.2338,63.21376,627.2338,59.54992,627.2338,74.33051
627.7159,63.19943,627.7159,59.78861,627.7159,74.65126
628.1981,63.33463,628.1981,60.12595,628.1981,75.0474
628.6802,63.5719,628.6802,60.53556,628.6802,75.48591
629.1623,63.86086,629.1623,60.98248,629.1623,75.93314
629.6444,64.15962,629.6444,61.42811,629.6444,76.35938
630.1265,64.44156,630.1265,61.836,630.1265,76.74267
630.6086,64.69625,630.6086,62.17759,630.6086,77.07124
631.0908,64.92455,631.0908,62.43607,631.0908,77.34378
631.5729,65.13097,631.5729,62.60689,631.5729,77.56683
632.055,65.31686,632.055,62.69591,632.055,77.75098
632.5371,65.47752,632.5371,62.71547,632.5371,77.90695
633.0192,65.604,633.0192,62.68041,633.0192,78.04286
633.5013,65.68831,633.5013,62.60501,633.5013,78.16332
633.9835,65.72895,633.9835,62.5009,633.9835,78.26986
634.4656,65.73363,634.4656,62.37636,634.4656,78.36216
634.9477,65.71754,634.9477,62.23633,634.9477,78.43882
635.4298,65.69765,635.4298,62.08298,635.4298,78.49757
635.9119,65.68581,635.9119,61.9166,635.9119,78.53464
636.394,65.68376,636.394,61.73616,636.394,78.54458
636.8762,65.68256,636.8762,61.53994,636.8762,78.52066
637.3583,65.66608,637.3583,61.32576,637.3583,78.45628
637.8404,65.61771,637.8404,61.09146,637.8404,78.34731
638.3225,65.52732,638.3225,60.83567,638.3225,78.19424
638.8046,65.39558,638.8046,60.55903,638.8046,78.00314
639.2867,65.23476,639.2867,60.26525,639.2867,77.78557
639.7689,65.06551,639.7689,59.96224,639.7689,77.55695
640.251,64.91153,640.251,59.66194,640.251,77.33405
640.7331,64.79292,640.7331,59.37895,640.7331,77.13207
641.2152,64.72095,641.2152,59.12767,641.2152,76.96233
641.6973,64.69534,641.6973,58.91923,641.6973,76.83086
642.1794,64.70502,642.1794,58.75872,642.1794,76.73862
642.6616,64.73167,642.6616,58.64502,642.6616,76.68295
643.1437,64.75477,643.1437,58.57186,643.1437,76.65958
643.6258,64.7563,643.6258,58.53099,643.6258,76.66423
644.1079,64.72439,644.1079,58.51544,644.1079,76.69399
644.59,64.65535,644.59,58.52232,644.59,76.74737
645.0721,64.5537,645.0721,58.55367,645.0721,76.82415
645.5543,64.43082,645.5543,58.61577,645.5543,76.92466
646.0364,64.30257,646.0364,58.71618,646.0364,77.04888
646.5185,64.18723,646.5185,58.85987,646.5185,77.19534
647.0006,64.10346,647.0006,59.0448,647.0006,77.35984
647.4827,64.06889,647.4827,59.25855,647.4827,77.53394
647.9648,64.09794,647.9648,59.47715,647.9648,77.70478
648.447,64.1988,648.447,59.66802,648.447,77.85629
648.9291,64.36987,648.9291,59.79667,648.9291,77.97196
649.4112,64.59766,649.4112,59.83544,649.4112,78.0389
649.8933,64.85738,649.8933,59.76957,649.8933,78.04971
650.3754,65.11603,650.3754,59.59816,650.3754,78.00224
650.8575,65.33705,650.8575,59.33006,650.8575,77.89715
651.3397,65.48507,651.3397,58.97773,651.3397,77.73481
651.8218,65.53057,651.8218,58.55215,651.8218,77.51379
652.3039,65.45464,652.3039,58.06118,652.3039,77.23104
652.786,65.25273,652.786,57.51146,652.786,76.88491
653.2682,64.93714,653.2682,56.91325,653.2682,76.47864
653.7502,64.53676,653.7502,56.28619,653.7502,76.02419
654.2324,64.09404,654.2324,55.66331,654.2324,75.54418
654.7145,63.66061,654.7145,55.09137,654.7145,75.07176
655.1967,63.29132,655.1967,54.62667,655.1967,74.64745
655.6787,63.03713,655.6787,54.32574,655.6787,74.3141
656.1609,62.93677,656.1609,54.23317,656.1609,74.10979
656.6429,63.00845,656.6429,54.36975,656.6429,74.06081
657.1251,63.24461,657.1251,54.72556,657.1251,74.17651
657.6072,63.61195,657.6072,55.26007,657.6072,74.44756
658.0894,64.05731,658.0894,55.90976,658.0894,74.84747
658.5714,64.51775,658.5714,56.59934,658.5714,75.3366
659.0536,64.93251,659.0536,57.25399,659.0536,75.8672
659.5356,65.25385,659.5356,57.81014,659.5356,76.38964
660.0178,65.45356,660.0178,58.2234,660.0178,76.85886
660.4999,65.52326,660.4999,58.47217,660.4999,77.24067
660.9821,65.46827,660.9821,58.55672,660.9821,77.51562
661.4641,65.29865,661.4641,58.49393,661.4641,77.67951
661.9463,65.02262,661.9463,58.31012,661.9463,77.74052
662.4283,64.64625,662.4283,58.03379,662.4283,77.71428
662.9105,64.17905,662.9105,57.69025,662.9105,77.61797
663.3926,63.64149,663.3926,57.29767,663.3926,77.46533
663.8748,63.06802,663.8748,56.86599,663.8748,77.26352
664.3568,62.50275,664.3568,56.39855,664.3568,77.01321
664.839,61.99023,664.839,55.89855,664.839,76.71329
665.321,61.56594,665.321,55.3787,665.321,76.36934
665.8032,61.25023,665.8032,54.87199,665.8032,76.00323
666.2853,61.0466,666.2853,54.43631,666.2853,75.65887
666.7675,60.94365,666.7675,54.1428,666.7675,75.39505
667.2495,60.91971,667.2495,54.03312,667.2495,75.25402
667.7317,60.94423,667.7317,54.04711,667.7317,75.2068
668.2137,60.96521,668.2137,53.98969,668.2137,75.1284
668.6959,60.90064,668.6959,53.66302,668.6959,74.89084
669.178,60.68614,669.178,53.07232,669.178,74.49928
669.6602,60.33686,669.6602,52.38546,669.6602,74.05356
670.1422,59.93011,670.1422,51.73407,670.1422,73.61381
670.6244,59.54698,670.6244,51.15873,670.6244,73.17632
671.1064,59.2408,671.1064,50.6616,671.1064,72.72204
671.5886,59.03381,671.5886,50.24697,671.5886,72.25121
672.0707,58.92201,672.0707,49.92658,672.0707,71.7892
672.5529,58.88026,672.5529,49.70692,672.5529,71.37597
673.0349,58.86773,673.0349,49.57389,673.0349,71.04832
673.5171,58.8361,673.5171,49.48704,673.5171,70.82298
673.9991,58.74001,673.9991,49.38687,673.9991,70.68769
674.4813,58.54639,674.4813,49.21271,674.4813,70.60422
674.9634,58.23867,674.9634,48.9206,674.9634,70.52049
675.4456,57.81485,675.4456,48.49313,675.4456,70.38554
675.9276,57.28196,675.9276,47.93769,675.9276,70.1608
676.4098,56.64954,676.4098,47.27687,676.4098,69.82465
676.8918,55.92442,676.8918,46.53554,676.8918,69.37125
677.374,55.10827,677.374,45.73144,677.374,68.805
677.8561,54.19818,677.8561,44.87242,677.8561,68.13474
678.3383,53.19018,678.3383,43.96072,678.3383,67.36975
678.8203,52.08463,678.8203,43.0004,678.8203,66.51943
679.3025,50.89103,679.3025,42.00286,679.3025,65.59464
679.7845,49.63086,679.7845,40.98691,679.7845,64.60902
680.2667,48.33704,680.2667,39.97409,680.2667,63.57745
680.7488,47.05046,680.7488,38.98225,680.7488,62.51266
681.231,45.81613,681.231,38.02338,681.231,61.4225
681.713,44.68187,681.713,37.10818,681.713,60.31077
682.1952,43.69954,682.1952,36.25663,682.1952,59.18324
682.6772,42.92585,682.6772,35.50785,682.6772,58.05608
683.1594,42.41775,683.1594,34.9234,683.1594,56.96235
683.6415,42.22044,683.6415,34.57927,683.6415,55.9523
684.1237,42.35094,684.1237,34.54941,684.1237,55.08599
684.6057,42.78598,684.6057,34.88698,684.6057,54.42142
685.0879,43.4621,685.0879,35.61395,685.0879,54.00438
685.5699,44.28946,685.5699,36.72244,685.5699,53.86558
686.0521,45.17177,686.0521,38.18479,686.0521,54.02457
686.5342,46.02314,686.5342,39.96292,686.5342,54.49591
687.0164,46.77615,687.0164,42.01006,687.0164,55.28996
687.4984,47.38208,687.4984,44.26471,687.4984,56.40637
687.9806,47.80756,687.9806,46.64404,687.9806,57.82288
688.4626,48.03159,688.4626,49.04512,688.4626,59.48774
688.9448,48.04457,688.9448,51.35779,688.9448,61.32224
689.4269,47.84909,689.4269,53.48418,689.4269,63.23415
689.9091,47.46032,689.9091,55.35544,689.9091,65.13583
690.3911,46.90498,690.3911,56.93854,690.3911,66.95837
690.8733,46.21841,690.8733,58.23269,690.8733,68.65757
691.3553,45.43968,691.3553,59.26025,691.3553,70.21219
691.8375,44.60655,691.8375,60.05696,691.8375,71.61829
692.3196,43.75137,692.3196,60.66434,692.3196,72.88274
692.8018,42.90098,692.8018,61.12458,692.8018,74.01808
693.2838,42.08058,693.2838,61.47628,693.2838,75.03856
693.766,41.32072,693.766,61.75048,693.766,75.95716
694.248,40.66334,694.248,61.96664,694.248,76.78367
694.7302,40.16289,694.7302,62.12978,694.7302,77.52362
695.2123,39.88084,695.2123,62.22983,695.2123,78.17842
695.6945,39.87452,695.6945,62.24532,695.6945,78.74712
696.1765,40.18534,696.1765,62.15026,696.1765,79.22861
696.6587,40.83155,696.6587,61.923,696.6587,79.62346
697.1407,41.80808,697.1407,61.55359,697.1407,79.93471
697.6229,43.09153,697.6229,61.0466,697.6229,80.16693
698.105,44.64545,698.105,60.41951,698.105,80.32497
698.5872,46.42328,698.5872,59.69696,698.5872,80.41309
699.0692,48.36854,699.0692,58.90347,699.0692,80.43478
699.5514,50.41634,699.5514,58.05704,699.5514,80.39406
700.0334,52.49863,700.0334,57.16543,700.0334,80.2964
700.5156,54.55255,700.5156,56.2267,700.5156,80.14941
700.9977,56.52826,700.9977,55.23288,700.9977,79.96225
701.4799,58.3918,701.4799,54.1761,701.4799,79.74484
701.9619,60.12157,701.9619,53.05435,701.9619,79.50657
702.4441,61.70102,702.4441,51.87604,702.4441,79.25602
702.9261,63.11162,702.9261,50.66232,702.9261,79.00076
703.4083,64.33074,703.4083,49.44781,703.4083,78.74792
703.8904,65.33526,703.8904,48.27984,703.8904,78.5041
704.3726,66.1094,704.3726,47.21727,704.3726,78.27548
704.8546,66.65244,704.8546,46.32806,704.8546,78.06694
705.3368,66.98289,705.3368,45.68506,705.3368,77.88138
705.8188,67.13785,705.8188,45.3579,705.8188,77.71902
706.301,67.16806,706.301,45.4006,706.301,77.57682
706.7831,67.13049,706.7831,45.83682,706.7831,77.44841
707.2653,67.08025,707.2653,46.64833,707.2653,77.32443
707.7473,67.0631,707.7473,47.7725,707.7473,77.19347
708.2295,67.11035,708.2295,49.11271,708.2295,77.04317
708.7115,67.23645,708.7115,50.55823,708.7115,76.86162
709.1937,67.43923,709.1937,52.00603,709.1937,76.63853
709.6758,67.70177,709.6758,53.37659,709.6758,76.36639
710.158,67.99521,710.158,54.61946,710.158,76.04176
710.64,68.28266,710.64,55.70982,710.64,75.66618
711.1222,68.52521,711.1222,56.64024,711.1222,75.24712
711.6042,68.68895,711.6042,57.4123,711.6042,74.79791
712.0864,68.75232,712.0864,58.03161,712.0864,74.33629
712.5685,68.71056,712.5685,58.50657,712.5685,73.88242
713.0507,68.57651,713.0507,58.84979,713.0507,73.45593
713.5327,68.37701,713.5327,59.07944,713.5327,73.07341
714.0149,68.14639,714.0149,59.219,714.0149,72.74634
714.4969,67.91865,714.4969,59.29425,714.4969,72.47964
714.9791,67.72028,714.9791,59.32908,714.9791,72.27145
715.4612,67.56518,715.4612,59.34141,715.4612,72.11424
715.9434,67.45352,715.9434,59.34159,715.9434,71.99751
716.4254,67.37431,716.4254,59.33341,716.4254,71.91051
716.9076,67.31004,716.9076,59.31693,716.9076,71.84464
717.3896,67.24152,717.3896,59.29096,717.3896,71.79387
717.8718,67.15122,717.8718,59.25347,717.8718,71.75354
718.3539,67.02493,718.3539,59.19944,718.3539,71.71789
718.8361,66.8525,718.8361,59.11816,718.8361,71.67823
719.3181,66.62791,719.3181,58.9919,719.3181,71.62315
719.8003,66.3494,719.8003,58.79917,719.8003,71.54156
720.2823,66.01933,720.2823,58.52202,720.2823,71.42805
720.7645,65.64344,720.7645,58.15458,720.7645,71.28703
721.2466,65.22972,721.2466,57.70757,721.2466,71.13374
721.7288,64.78684,721.7288,57.20566,721.7288,70.98994
722.2108,64.32321,722.2108,56.67931,722.2108,70.87723
722.693,63.84663,722.693,56.15539,722.693,70.81043
